Date,Event,"Nov 30 2023, 12:00AM - Feb 28 2024, 5:40PM"
2023-11-30,A. Volume,0.165
2023-11-30,B. Account Tweet [Sum of impression_count],19167
2023-12-01,A. Volume,9.3965
2023-12-01,B. Account Tweet [Sum of impression_count],21371
2023-12-02,A. Volume,3.479892
2023-12-02,B. Account Tweet [Sum of impression_count],6330
2023-12-03,A. Volume,1.035
2023-12-03,B. Account Tweet [Sum of impression_count],10056
2023-12-04,A. Volume,0.38
2023-12-04,B. Account Tweet [Sum of impression_count],12278
2023-12-05,A. Volume,7.186373
2023-12-05,B. Account Tweet [Sum of impression_count],5577
2023-12-06,A. Volume,3.528
2023-12-06,B. Account Tweet [Sum of impression_count],0
2023-12-07,A. Volume,6.072893
2023-12-07,B. Account Tweet [Sum of impression_count],0
2023-12-08,A. Volume,3.8742
2023-12-08,B. Account Tweet [Sum of impression_count],5730
2023-12-09,A. Volume,3.3012
2023-12-09,B. Account Tweet [Sum of impression_count],0
2023-12-10,A. Volume,14.8658
2023-12-10,B. Account Tweet [Sum of impression_count],8540
2023-12-11,A. Volume,7.712639
2023-12-11,B. Account Tweet [Sum of impression_count],0
2023-12-12,A. Volume,6.5077
2023-12-12,B. Account Tweet [Sum of impression_count],0
2023-12-13,A. Volume,6.57279
2023-12-13,B. Account Tweet [Sum of impression_count],0
2023-12-14,A. Volume,1.212399
2023-12-14,B. Account Tweet [Sum of impression_count],0
2023-12-15,A. Volume,0.545898
2023-12-15,B. Account Tweet [Sum of impression_count],0
2023-12-16,A. Volume,0.1657
2023-12-16,B. Account Tweet [Sum of impression_count],0
2023-12-17,A. Volume,1.5933
2023-12-17,B. Account Tweet [Sum of impression_count],0
2023-12-18,A. Volume,7.085497
2023-12-18,B. Account Tweet [Sum of impression_count],0
2023-12-19,A. Volume,6.0815
2023-12-19,B. Account Tweet [Sum of impression_count],0
2023-12-20,A. Volume,0.439699
2023-12-20,B. Account Tweet [Sum of impression_count],0
2023-12-21,A. Volume,0.2668
2023-12-21,B. Account Tweet [Sum of impression_count],0
2023-12-22,A. Volume,1.019
2023-12-22,B. Account Tweet [Sum of impression_count],0
2023-12-23,A. Volume,6.255186
2023-12-23,B. Account Tweet [Sum of impression_count],0
2023-12-24,A. Volume,0.7352
2023-12-24,B. Account Tweet [Sum of impression_count],0
2023-12-25,A. Volume,5.130398
2023-12-25,B. Account Tweet [Sum of impression_count],0
2023-12-26,A. Volume,3.5243
2023-12-26,B. Account Tweet [Sum of impression_count],0
2023-12-27,A. Volume,1.2662
2023-12-27,B. Account Tweet [Sum of impression_count],0
2023-12-28,A. Volume,1.295583
2023-12-28,B. Account Tweet [Sum of impression_count],0
2023-12-29,A. Volume,0.5964
2023-12-29,B. Account Tweet [Sum of impression_count],0
2023-12-30,A. Volume,14.04006
2023-12-30,B. Account Tweet [Sum of impression_count],0
2023-12-31,A. Volume,4.821598
2023-12-31,B. Account Tweet [Sum of impression_count],0
2024-01-01,A. Volume,1.157566
2024-01-01,B. Account Tweet [Sum of impression_count],0
2024-01-02,A. Volume,0.6356
2024-01-02,B. Account Tweet [Sum of impression_count],0
2024-01-03,A. Volume,1.239898
2024-01-03,B. Account Tweet [Sum of impression_count],0
2024-01-04,A. Volume,0.413
2024-01-04,B. Account Tweet [Sum of impression_count],0
2024-01-05,A. Volume,4.946949
2024-01-05,B. Account Tweet [Sum of impression_count],0
2024-01-06,A. Volume,1.179
2024-01-06,B. Account Tweet [Sum of impression_count],0
2024-01-07,A. Volume,8.35395
2024-01-07,B. Account Tweet [Sum of impression_count],0
2024-01-08,A. Volume,0.1599
2024-01-08,B. Account Tweet [Sum of impression_count],5020
2024-01-09,A. Volume,0.13
2024-01-09,B. Account Tweet [Sum of impression_count],0
2024-01-10,A. Volume,0.5977
2024-01-10,B. Account Tweet [Sum of impression_count],0
2024-01-11,A. Volume,0.987
2024-01-11,B. Account Tweet [Sum of impression_count],0
2024-01-12,A. Volume,2.690237
2024-01-12,B. Account Tweet [Sum of impression_count],0
2024-01-13,A. Volume,1.887381
2024-01-13,B. Account Tweet [Sum of impression_count],0
2024-01-14,A. Volume,0.975
2024-01-14,B. Account Tweet [Sum of impression_count],0
2024-01-15,A. Volume,0.919898
2024-01-15,B. Account Tweet [Sum of impression_count],0
2024-01-16,A. Volume,12.149976
2024-01-16,B. Account Tweet [Sum of impression_count],6304
2024-01-17,A. Volume,2.320499
2024-01-17,B. Account Tweet [Sum of impression_count],0
2024-01-18,A. Volume,2.0504
2024-01-18,B. Account Tweet [Sum of impression_count],0
2024-01-19,A. Volume,0.905798
2024-01-19,B. Account Tweet [Sum of impression_count],0
2024-01-20,A. Volume,1.4359
2024-01-20,B. Account Tweet [Sum of impression_count],0
2024-01-21,A. Volume,0.9007
2024-01-21,B. Account Tweet [Sum of impression_count],0
2024-01-22,A. Volume,0.4498
2024-01-22,B. Account Tweet [Sum of impression_count],0
2024-01-23,A. Volume,0.8461
2024-01-23,B. Account Tweet [Sum of impression_count],0
2024-01-24,A. Volume,1.94
2024-01-24,B. Account Tweet [Sum of impression_count],6672
2024-01-25,A. Volume,2.8448
2024-01-25,B. Account Tweet [Sum of impression_count],0
2024-01-26,A. Volume,0.199
2024-01-26,B. Account Tweet [Sum of impression_count],0
2024-01-27,A. Volume,0.694
2024-01-27,B. Account Tweet [Sum of impression_count],0
2024-01-28,A. Volume,2.4486
2024-01-28,B. Account Tweet [Sum of impression_count],0
2024-01-29,A. Volume,1.368
2024-01-29,B. Account Tweet [Sum of impression_count],0
2024-01-30,A. Volume,4.723138
2024-01-30,B. Account Tweet [Sum of impression_count],0
2024-01-31,A. Volume,5.8206
2024-01-31,B. Account Tweet [Sum of impression_count],0
2024-02-01,A. Volume,0.5561
2024-02-01,B. Account Tweet [Sum of impression_count],0
2024-02-02,A. Volume,2.106946
2024-02-02,B. Account Tweet [Sum of impression_count],0
2024-02-03,A. Volume,0.955598
2024-02-03,B. Account Tweet [Sum of impression_count],0
2024-02-04,A. Volume,2.069597
2024-02-04,B. Account Tweet [Sum of impression_count],0
2024-02-05,A. Volume,0.6
2024-02-05,B. Account Tweet [Sum of impression_count],0
2024-02-06,A. Volume,0.6719
2024-02-06,B. Account Tweet [Sum of impression_count],3459
2024-02-07,A. Volume,3.383272
2024-02-07,B. Account Tweet [Sum of impression_count],0
2024-02-08,A. Volume,0.9496
2024-02-08,B. Account Tweet [Sum of impression_count],3099
2024-02-09,A. Volume,1.8
2024-02-09,B. Account Tweet [Sum of impression_count],0
2024-02-10,A. Volume,3.720499
2024-02-10,B. Account Tweet [Sum of impression_count],0
2024-02-11,A. Volume,2.15818
2024-02-11,B. Account Tweet [Sum of impression_count],0
2024-02-12,A. Volume,0.143
2024-02-12,B. Account Tweet [Sum of impression_count],11202
2024-02-13,A. Volume,0.1449
2024-02-13,B. Account Tweet [Sum of impression_count],0
2024-02-14,A. Volume,1.381596
2024-02-14,B. Account Tweet [Sum of impression_count],0
2024-02-15,A. Volume,0.2901
2024-02-15,B. Account Tweet [Sum of impression_count],0
2024-02-16,A. Volume,0.95225
2024-02-16,B. Account Tweet [Sum of impression_count],0
2024-02-17,A. Volume,5.93613
2024-02-17,B. Account Tweet [Sum of impression_count],0
2024-02-18,A. Volume,1.06098
2024-02-18,B. Account Tweet [Sum of impression_count],0
2024-02-19,A. Volume,0.734838
2024-02-19,B. Account Tweet [Sum of impression_count],0
2024-02-20,A. Volume,1.282034
2024-02-20,B. Account Tweet [Sum of impression_count],0
2024-02-21,A. Volume,0.8294
2024-02-21,B. Account Tweet [Sum of impression_count],0
2024-02-22,A. Volume,0.531898
2024-02-22,B. Account Tweet [Sum of impression_count],11665
2024-02-23,A. Volume,2.062685
2024-02-23,B. Account Tweet [Sum of impression_count],9147
2024-02-24,A. Volume,0.3241
2024-02-24,B. Account Tweet [Sum of impression_count],0
2024-02-25,A. Volume,0.136
2024-02-25,B. Account Tweet [Sum of impression_count],0
2024-02-26,A. Volume,0
2024-02-26,B. Account Tweet [Sum of impression_count],2189
2024-02-27,A. Volume,0
2024-02-27,B. Account Tweet [Sum of impression_count],0
2024-02-28,A. Volume,0
2024-02-28,B. Account Tweet [Sum of impression_count],0
