Date,Event,"Nov 30 2023, 12:00AM - Feb 28 2024, 5:44PM"
2023-11-30,A. Volume,0.165
2023-11-30,B. Discord Stats [Sum of messages_guild-message-activity],824
2023-12-01,A. Volume,9.3965
2023-12-01,B. Discord Stats [Sum of messages_guild-message-activity],539
2023-12-02,A. Volume,3.479892
2023-12-02,B. Discord Stats [Sum of messages_guild-message-activity],186
2023-12-03,A. Volume,1.035
2023-12-03,B. Discord Stats [Sum of messages_guild-message-activity],162
2023-12-04,A. Volume,0.38
2023-12-04,B. Discord Stats [Sum of messages_guild-message-activity],232
2023-12-05,A. Volume,7.186373
2023-12-05,B. Discord Stats [Sum of messages_guild-message-activity],185
2023-12-06,A. Volume,3.528
2023-12-06,B. Discord Stats [Sum of messages_guild-message-activity],200
2023-12-07,A. Volume,6.072893
2023-12-07,B. Discord Stats [Sum of messages_guild-message-activity],304
2023-12-08,A. Volume,3.8742
2023-12-08,B. Discord Stats [Sum of messages_guild-message-activity],372
2023-12-09,A. Volume,3.3012
2023-12-09,B. Discord Stats [Sum of messages_guild-message-activity],150
2023-12-10,A. Volume,14.8658
2023-12-10,B. Discord Stats [Sum of messages_guild-message-activity],165
2023-12-11,A. Volume,7.712639
2023-12-11,B. Discord Stats [Sum of messages_guild-message-activity],190
2023-12-12,A. Volume,6.5077
2023-12-12,B. Discord Stats [Sum of messages_guild-message-activity],141
2023-12-13,A. Volume,6.57279
2023-12-13,B. Discord Stats [Sum of messages_guild-message-activity],127
2023-12-14,A. Volume,1.212399
2023-12-14,B. Discord Stats [Sum of messages_guild-message-activity],175
2023-12-15,A. Volume,0.545898
2023-12-15,B. Discord Stats [Sum of messages_guild-message-activity],200
2023-12-16,A. Volume,0.1657
2023-12-16,B. Discord Stats [Sum of messages_guild-message-activity],156
2023-12-17,A. Volume,1.5933
2023-12-17,B. Discord Stats [Sum of messages_guild-message-activity],290
2023-12-18,A. Volume,7.085497
2023-12-18,B. Discord Stats [Sum of messages_guild-message-activity],250
2023-12-19,A. Volume,6.0815
2023-12-19,B. Discord Stats [Sum of messages_guild-message-activity],153
2023-12-20,A. Volume,0.439699
2023-12-20,B. Discord Stats [Sum of messages_guild-message-activity],135
2023-12-21,A. Volume,0.2668
2023-12-21,B. Discord Stats [Sum of messages_guild-message-activity],113
2023-12-22,A. Volume,1.019
2023-12-22,B. Discord Stats [Sum of messages_guild-message-activity],64
2023-12-23,A. Volume,6.255186
2023-12-23,B. Discord Stats [Sum of messages_guild-message-activity],209
2023-12-24,A. Volume,0.7352
2023-12-24,B. Discord Stats [Sum of messages_guild-message-activity],127
2023-12-25,A. Volume,5.130398
2023-12-25,B. Discord Stats [Sum of messages_guild-message-activity],122
2023-12-26,A. Volume,3.5243
2023-12-26,B. Discord Stats [Sum of messages_guild-message-activity],92
2023-12-27,A. Volume,1.2662
2023-12-27,B. Discord Stats [Sum of messages_guild-message-activity],119
2023-12-28,A. Volume,1.295583
2023-12-28,B. Discord Stats [Sum of messages_guild-message-activity],108
2023-12-29,A. Volume,0.5964
2023-12-29,B. Discord Stats [Sum of messages_guild-message-activity],107
2023-12-30,A. Volume,14.04006
2023-12-30,B. Discord Stats [Sum of messages_guild-message-activity],81
2023-12-31,A. Volume,4.821598
2023-12-31,B. Discord Stats [Sum of messages_guild-message-activity],56
2024-01-01,A. Volume,1.157566
2024-01-01,B. Discord Stats [Sum of messages_guild-message-activity],130
2024-01-02,A. Volume,0.6356
2024-01-02,B. Discord Stats [Sum of messages_guild-message-activity],140
2024-01-03,A. Volume,1.239898
2024-01-03,B. Discord Stats [Sum of messages_guild-message-activity],89
2024-01-04,A. Volume,0.413
2024-01-04,B. Discord Stats [Sum of messages_guild-message-activity],304
2024-01-05,A. Volume,4.946949
2024-01-05,B. Discord Stats [Sum of messages_guild-message-activity],564
2024-01-06,A. Volume,1.179
2024-01-06,B. Discord Stats [Sum of messages_guild-message-activity],216
2024-01-07,A. Volume,8.35395
2024-01-07,B. Discord Stats [Sum of messages_guild-message-activity],220
2024-01-08,A. Volume,0.1599
2024-01-08,B. Discord Stats [Sum of messages_guild-message-activity],366
2024-01-09,A. Volume,0.13
2024-01-09,B. Discord Stats [Sum of messages_guild-message-activity],555
2024-01-10,A. Volume,0.5977
2024-01-10,B. Discord Stats [Sum of messages_guild-message-activity],734
2024-01-11,A. Volume,0.987
2024-01-11,B. Discord Stats [Sum of messages_guild-message-activity],751
2024-01-12,A. Volume,2.690237
2024-01-12,B. Discord Stats [Sum of messages_guild-message-activity],256
2024-01-13,A. Volume,1.887381
2024-01-13,B. Discord Stats [Sum of messages_guild-message-activity],114
2024-01-14,A. Volume,0.975
2024-01-14,B. Discord Stats [Sum of messages_guild-message-activity],99
2024-01-15,A. Volume,0.919898
2024-01-15,B. Discord Stats [Sum of messages_guild-message-activity],185
2024-01-16,A. Volume,12.149976
2024-01-16,B. Discord Stats [Sum of messages_guild-message-activity],424
2024-01-17,A. Volume,2.320499
2024-01-17,B. Discord Stats [Sum of messages_guild-message-activity],201
2024-01-18,A. Volume,2.0504
2024-01-18,B. Discord Stats [Sum of messages_guild-message-activity],91
2024-01-19,A. Volume,0.905798
2024-01-19,B. Discord Stats [Sum of messages_guild-message-activity],81
2024-01-20,A. Volume,1.4359
2024-01-20,B. Discord Stats [Sum of messages_guild-message-activity],246
2024-01-21,A. Volume,0.9007
2024-01-21,B. Discord Stats [Sum of messages_guild-message-activity],120
2024-01-22,A. Volume,0.4498
2024-01-22,B. Discord Stats [Sum of messages_guild-message-activity],81
2024-01-23,A. Volume,0.8461
2024-01-23,B. Discord Stats [Sum of messages_guild-message-activity],72
2024-01-24,A. Volume,1.94
2024-01-24,B. Discord Stats [Sum of messages_guild-message-activity],108
2024-01-25,A. Volume,2.8448
2024-01-25,B. Discord Stats [Sum of messages_guild-message-activity],69
2024-01-26,A. Volume,0.199
2024-01-26,B. Discord Stats [Sum of messages_guild-message-activity],70
2024-01-27,A. Volume,0.694
2024-01-27,B. Discord Stats [Sum of messages_guild-message-activity],59
2024-01-28,A. Volume,2.4486
2024-01-28,B. Discord Stats [Sum of messages_guild-message-activity],97
2024-01-29,A. Volume,1.368
2024-01-29,B. Discord Stats [Sum of messages_guild-message-activity],103
2024-01-30,A. Volume,4.723138
2024-01-30,B. Discord Stats [Sum of messages_guild-message-activity],112
2024-01-31,A. Volume,5.8206
2024-01-31,B. Discord Stats [Sum of messages_guild-message-activity],160
2024-02-01,A. Volume,0.5561
2024-02-01,B. Discord Stats [Sum of messages_guild-message-activity],129
2024-02-02,A. Volume,2.106946
2024-02-02,B. Discord Stats [Sum of messages_guild-message-activity],159
2024-02-03,A. Volume,0.955598
2024-02-03,B. Discord Stats [Sum of messages_guild-message-activity],108
2024-02-04,A. Volume,2.069597
2024-02-04,B. Discord Stats [Sum of messages_guild-message-activity],76
2024-02-05,A. Volume,0.6
2024-02-05,B. Discord Stats [Sum of messages_guild-message-activity],105
2024-02-06,A. Volume,0.6719
2024-02-06,B. Discord Stats [Sum of messages_guild-message-activity],87
2024-02-07,A. Volume,3.383272
2024-02-07,B. Discord Stats [Sum of messages_guild-message-activity],165
2024-02-08,A. Volume,0.9496
2024-02-08,B. Discord Stats [Sum of messages_guild-message-activity],154
2024-02-09,A. Volume,1.8
2024-02-09,B. Discord Stats [Sum of messages_guild-message-activity],171
2024-02-10,A. Volume,3.720499
2024-02-10,B. Discord Stats [Sum of messages_guild-message-activity],85
2024-02-11,A. Volume,2.15818
2024-02-11,B. Discord Stats [Sum of messages_guild-message-activity],109
2024-02-12,A. Volume,0.143
2024-02-12,B. Discord Stats [Sum of messages_guild-message-activity],101
2024-02-13,A. Volume,0.1449
2024-02-13,B. Discord Stats [Sum of messages_guild-message-activity],89
2024-02-14,A. Volume,1.381596
2024-02-14,B. Discord Stats [Sum of messages_guild-message-activity],131
2024-02-15,A. Volume,0.2901
2024-02-15,B. Discord Stats [Sum of messages_guild-message-activity],144
2024-02-16,A. Volume,0.95225
2024-02-16,B. Discord Stats [Sum of messages_guild-message-activity],187
2024-02-17,A. Volume,5.93613
2024-02-17,B. Discord Stats [Sum of messages_guild-message-activity],123
2024-02-18,A. Volume,1.06098
2024-02-18,B. Discord Stats [Sum of messages_guild-message-activity],87
2024-02-19,A. Volume,0.734838
2024-02-19,B. Discord Stats [Sum of messages_guild-message-activity],338
2024-02-20,A. Volume,1.282034
2024-02-20,B. Discord Stats [Sum of messages_guild-message-activity],179
2024-02-21,A. Volume,0.8294
2024-02-21,B. Discord Stats [Sum of messages_guild-message-activity],116
2024-02-22,A. Volume,0.531898
2024-02-22,B. Discord Stats [Sum of messages_guild-message-activity],149
2024-02-23,A. Volume,2.062685
2024-02-23,B. Discord Stats [Sum of messages_guild-message-activity],196
2024-02-24,A. Volume,0.3241
2024-02-24,B. Discord Stats [Sum of messages_guild-message-activity],0
2024-02-25,A. Volume,0.136
2024-02-25,B. Discord Stats [Sum of messages_guild-message-activity],0
2024-02-26,A. Volume,0
2024-02-26,B. Discord Stats [Sum of messages_guild-message-activity],0
2024-02-27,A. Volume,0
2024-02-27,B. Discord Stats [Sum of messages_guild-message-activity],0
2024-02-28,A. Volume,0
2024-02-28,B. Discord Stats [Sum of messages_guild-message-activity],0
