Date,Event,"Nov 30 2023, 12:00AM - Feb 28 2024, 2:45PM"
2023-11-30,B. Discord Stats [Sum of new_members_guild-activation],15
2023-11-30,C. Dune Analytics [Sum of volume],0.165
2023-12-01,B. Discord Stats [Sum of new_members_guild-activation],15
2023-12-01,C. Dune Analytics [Sum of volume],9.3965
2023-12-02,B. Discord Stats [Sum of new_members_guild-activation],10
2023-12-02,C. Dune Analytics [Sum of volume],3.479892
2023-12-03,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-03,C. Dune Analytics [Sum of volume],1.035
2023-12-04,B. Discord Stats [Sum of new_members_guild-activation],11
2023-12-04,C. Dune Analytics [Sum of volume],0.38
2023-12-05,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-05,C. Dune Analytics [Sum of volume],7.186373
2023-12-06,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-06,C. Dune Analytics [Sum of volume],3.528
2023-12-07,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-07,C. Dune Analytics [Sum of volume],6.072893
2023-12-08,B. Discord Stats [Sum of new_members_guild-activation],7
2023-12-08,C. Dune Analytics [Sum of volume],3.8742
2023-12-09,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-09,C. Dune Analytics [Sum of volume],3.3012
2023-12-10,B. Discord Stats [Sum of new_members_guild-activation],13
2023-12-10,C. Dune Analytics [Sum of volume],14.8658
2023-12-11,B. Discord Stats [Sum of new_members_guild-activation],20
2023-12-11,C. Dune Analytics [Sum of volume],7.712639
2023-12-12,B. Discord Stats [Sum of new_members_guild-activation],14
2023-12-12,C. Dune Analytics [Sum of volume],6.5077
2023-12-13,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-13,C. Dune Analytics [Sum of volume],6.57279
2023-12-14,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-14,C. Dune Analytics [Sum of volume],1.212399
2023-12-15,B. Discord Stats [Sum of new_members_guild-activation],8
2023-12-15,C. Dune Analytics [Sum of volume],0.545898
2023-12-16,B. Discord Stats [Sum of new_members_guild-activation],7
2023-12-16,C. Dune Analytics [Sum of volume],0.1657
2023-12-17,B. Discord Stats [Sum of new_members_guild-activation],7
2023-12-17,C. Dune Analytics [Sum of volume],1.5933
2023-12-18,B. Discord Stats [Sum of new_members_guild-activation],6
2023-12-18,C. Dune Analytics [Sum of volume],7.085497
2023-12-19,B. Discord Stats [Sum of new_members_guild-activation],12
2023-12-19,C. Dune Analytics [Sum of volume],6.0815
2023-12-20,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-20,C. Dune Analytics [Sum of volume],0.439699
2023-12-21,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-21,C. Dune Analytics [Sum of volume],0.2668
2023-12-22,B. Discord Stats [Sum of new_members_guild-activation],2
2023-12-22,C. Dune Analytics [Sum of volume],1.019
2023-12-23,B. Discord Stats [Sum of new_members_guild-activation],25
2023-12-23,C. Dune Analytics [Sum of volume],6.255186
2023-12-24,B. Discord Stats [Sum of new_members_guild-activation],17
2023-12-24,C. Dune Analytics [Sum of volume],0.7352
2023-12-25,B. Discord Stats [Sum of new_members_guild-activation],11
2023-12-25,C. Dune Analytics [Sum of volume],5.130398
2023-12-26,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-26,C. Dune Analytics [Sum of volume],3.5243
2023-12-27,B. Discord Stats [Sum of new_members_guild-activation],12
2023-12-27,C. Dune Analytics [Sum of volume],1.2662
2023-12-28,B. Discord Stats [Sum of new_members_guild-activation],6
2023-12-28,C. Dune Analytics [Sum of volume],1.295583
2023-12-29,B. Discord Stats [Sum of new_members_guild-activation],6
2023-12-29,C. Dune Analytics [Sum of volume],0.5964
2023-12-30,B. Discord Stats [Sum of new_members_guild-activation],2
2023-12-30,C. Dune Analytics [Sum of volume],14.04006
2023-12-31,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-31,C. Dune Analytics [Sum of volume],4.821598
2024-01-01,B. Discord Stats [Sum of new_members_guild-activation],5
2024-01-01,C. Dune Analytics [Sum of volume],1.157566
2024-01-02,B. Discord Stats [Sum of new_members_guild-activation],5
2024-01-02,C. Dune Analytics [Sum of volume],0.6356
2024-01-03,B. Discord Stats [Sum of new_members_guild-activation],6
2024-01-03,C. Dune Analytics [Sum of volume],1.239898
2024-01-04,B. Discord Stats [Sum of new_members_guild-activation],9
2024-01-04,C. Dune Analytics [Sum of volume],0.413
2024-01-05,B. Discord Stats [Sum of new_members_guild-activation],12
2024-01-05,C. Dune Analytics [Sum of volume],4.946949
2024-01-06,B. Discord Stats [Sum of new_members_guild-activation],8
2024-01-06,C. Dune Analytics [Sum of volume],1.179
2024-01-07,B. Discord Stats [Sum of new_members_guild-activation],5
2024-01-07,C. Dune Analytics [Sum of volume],8.35395
2024-01-08,B. Discord Stats [Sum of new_members_guild-activation],9
2024-01-08,C. Dune Analytics [Sum of volume],0.1599
2024-01-09,B. Discord Stats [Sum of new_members_guild-activation],8
2024-01-09,C. Dune Analytics [Sum of volume],0.13
2024-01-10,B. Discord Stats [Sum of new_members_guild-activation],8
2024-01-10,C. Dune Analytics [Sum of volume],0.5977
2024-01-11,B. Discord Stats [Sum of new_members_guild-activation],14
2024-01-11,C. Dune Analytics [Sum of volume],0.987
2024-01-12,B. Discord Stats [Sum of new_members_guild-activation],18
2024-01-12,C. Dune Analytics [Sum of volume],2.690237
2024-01-13,B. Discord Stats [Sum of new_members_guild-activation],12
2024-01-13,C. Dune Analytics [Sum of volume],1.887381
2024-01-14,B. Discord Stats [Sum of new_members_guild-activation],9
2024-01-14,C. Dune Analytics [Sum of volume],0.975
2024-01-15,B. Discord Stats [Sum of new_members_guild-activation],14
2024-01-15,C. Dune Analytics [Sum of volume],0.919898
2024-01-16,B. Discord Stats [Sum of new_members_guild-activation],10
2024-01-16,C. Dune Analytics [Sum of volume],12.149976
2024-01-17,B. Discord Stats [Sum of new_members_guild-activation],8
2024-01-17,C. Dune Analytics [Sum of volume],2.320499
2024-01-18,B. Discord Stats [Sum of new_members_guild-activation],4
2024-01-18,C. Dune Analytics [Sum of volume],2.0504
2024-01-19,B. Discord Stats [Sum of new_members_guild-activation],7
2024-01-19,C. Dune Analytics [Sum of volume],0.905798
2024-01-20,B. Discord Stats [Sum of new_members_guild-activation],18
2024-01-20,C. Dune Analytics [Sum of volume],1.4359
2024-01-21,B. Discord Stats [Sum of new_members_guild-activation],12
2024-01-21,C. Dune Analytics [Sum of volume],0.9007
2024-01-22,B. Discord Stats [Sum of new_members_guild-activation],5
2024-01-22,C. Dune Analytics [Sum of volume],0.4498
2024-01-23,B. Discord Stats [Sum of new_members_guild-activation],6
2024-01-23,C. Dune Analytics [Sum of volume],0.8461
2024-01-24,B. Discord Stats [Sum of new_members_guild-activation],8
2024-01-24,C. Dune Analytics [Sum of volume],1.94
2024-01-25,B. Discord Stats [Sum of new_members_guild-activation],5
2024-01-25,C. Dune Analytics [Sum of volume],2.8448
2024-01-26,B. Discord Stats [Sum of new_members_guild-activation],6
2024-01-26,C. Dune Analytics [Sum of volume],0.199
2024-01-27,B. Discord Stats [Sum of new_members_guild-activation],2
2024-01-27,C. Dune Analytics [Sum of volume],0.694
2024-01-28,B. Discord Stats [Sum of new_members_guild-activation],8
2024-01-28,C. Dune Analytics [Sum of volume],2.4486
2024-01-29,B. Discord Stats [Sum of new_members_guild-activation],6
2024-01-29,C. Dune Analytics [Sum of volume],1.368
2024-01-30,B. Discord Stats [Sum of new_members_guild-activation],5
2024-01-30,C. Dune Analytics [Sum of volume],4.723138
2024-01-31,B. Discord Stats [Sum of new_members_guild-activation],3
2024-01-31,C. Dune Analytics [Sum of volume],5.8206
2024-02-01,B. Discord Stats [Sum of new_members_guild-activation],15
2024-02-01,C. Dune Analytics [Sum of volume],0.5561
2024-02-02,B. Discord Stats [Sum of new_members_guild-activation],15
2024-02-02,C. Dune Analytics [Sum of volume],2.106946
2024-02-03,B. Discord Stats [Sum of new_members_guild-activation],8
2024-02-03,C. Dune Analytics [Sum of volume],0.955598
2024-02-04,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-04,C. Dune Analytics [Sum of volume],2.069597
2024-02-05,B. Discord Stats [Sum of new_members_guild-activation],3
2024-02-05,C. Dune Analytics [Sum of volume],0.6
2024-02-06,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-06,C. Dune Analytics [Sum of volume],0.6719
2024-02-07,B. Discord Stats [Sum of new_members_guild-activation],10
2024-02-07,C. Dune Analytics [Sum of volume],3.383272
2024-02-08,B. Discord Stats [Sum of new_members_guild-activation],4
2024-02-08,C. Dune Analytics [Sum of volume],0.9496
2024-02-09,B. Discord Stats [Sum of new_members_guild-activation],11
2024-02-09,C. Dune Analytics [Sum of volume],1.8
2024-02-10,B. Discord Stats [Sum of new_members_guild-activation],5
2024-02-10,C. Dune Analytics [Sum of volume],3.720499
2024-02-11,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-11,C. Dune Analytics [Sum of volume],2.15818
2024-02-12,B. Discord Stats [Sum of new_members_guild-activation],9
2024-02-12,C. Dune Analytics [Sum of volume],0.143
2024-02-13,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-13,C. Dune Analytics [Sum of volume],0.1449
2024-02-14,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-14,C. Dune Analytics [Sum of volume],1.381596
2024-02-15,B. Discord Stats [Sum of new_members_guild-activation],5
2024-02-15,C. Dune Analytics [Sum of volume],0.2901
2024-02-16,B. Discord Stats [Sum of new_members_guild-activation],4
2024-02-16,C. Dune Analytics [Sum of volume],0.95225
2024-02-17,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-17,C. Dune Analytics [Sum of volume],5.93613
2024-02-18,B. Discord Stats [Sum of new_members_guild-activation],6
2024-02-18,C. Dune Analytics [Sum of volume],1.06098
2024-02-19,B. Discord Stats [Sum of new_members_guild-activation],7
2024-02-19,C. Dune Analytics [Sum of volume],0.734838
2024-02-20,B. Discord Stats [Sum of new_members_guild-activation],5
2024-02-20,C. Dune Analytics [Sum of volume],1.282034
2024-02-21,B. Discord Stats [Sum of new_members_guild-activation],8
2024-02-21,C. Dune Analytics [Sum of volume],0.8294
2024-02-22,B. Discord Stats [Sum of new_members_guild-activation],5
2024-02-22,C. Dune Analytics [Sum of volume],0.531898
2024-02-23,B. Discord Stats [Sum of new_members_guild-activation],9
2024-02-23,C. Dune Analytics [Sum of volume],2.062685
2024-02-24,B. Discord Stats [Sum of new_members_guild-activation],2
2024-02-24,C. Dune Analytics [Sum of volume],0.3241
2024-02-25,B. Discord Stats [Sum of new_members_guild-activation],0
2024-02-25,C. Dune Analytics [Sum of volume],0.136
2024-02-26,B. Discord Stats [Sum of new_members_guild-activation],0
2024-02-26,C. Dune Analytics [Sum of volume],0
2024-02-27,B. Discord Stats [Sum of new_members_guild-activation],0
2024-02-27,C. Dune Analytics [Sum of volume],0
2024-02-28,B. Discord Stats [Sum of new_members_guild-activation],0
2024-02-28,C. Dune Analytics [Sum of volume],0
